"","DaysDriving","Miles_n","Trips","TripMinutes_n","TripChains","MilesPerTrip_n","MinutesPerTrip_n","MilesPerChain_n","MinutesPerChain_n","Average_speed","LeftTurnCount","RightToLeftTurnRatio_n","TripsAMPeak","PercentTripsAMPeak_n","TripsPMPeak","PercentTripsPMPeak_n","TripsAtNight","PercentTripsAtNight_n","TripsLt15Miles","PercentDistLt15Miles_n","TripsVgt60","PercentTripsVgt60_n","SpeedingPer1000Miles","DecelerationPer1000Miles","LIFESATISFACTION","cog","phys","fati","socialrole","iso","info","emo","ins","dep","anx","ang","Age","EDUCATION","INCOME","Site_JHSPH","Site_UCDENVER","Site_UCSD","Site_UMTRI","GENDER_Female","RACE_Black","RACE_American_Indian","RACE_Asian","RACE_Alaska_Native_Native_Hawaiian_Pacific_Islander","RACE_Other_Non_Hispanic","RACE_Hispanic","WORK_Working","MARRIAGE_Living_with_a_partner","MARRIAGE_Separated","MARRIAGE_Divorced","MARRIAGE_Widowed","MARRIAGE_Never_married"
"cog",-0.10735397,-35.70426572,-1.22158047,-25.96571997,-0.03436621,-0.25845541,-0.09487438,-3.89342676,-2.68493667,-0.88133953,2.12138159,0.00135688,-0.22458439,-0.13047519,-0.09766243,0.02261397,0.02359038,0.02998894,0.33282761,1.18585626,-0.20611673,-0.11073973,0.11844621,0.06570928,-0.10504305,0.40654283,0.07815845,0.17326217,0.14155894,0.11406542,0.06602796,0.0697129,0.0635511,0.08510539,0.08629626,0.09628831,0.09259562,-0.08257333,-0.079311,0.02683869,0.01086616,0.00928708,0.0188354,0.02907759,0.02081295,0.00044685,0.00106069,0.00128647,0.00088956,0.00298203,-0.0178479,-0.00147491,0.00263133,0.01605869,0.00249212,0.00082231
"phys",-0.25041024,-20.60213039,-2.66219008,-10.84820938,-0.18810012,-0.0759203,0.16897732,-1.01107403,2.40600276,-0.5593685,-4.66204488,0.00342481,-0.49465622,-0.34508009,-0.16976647,0.04450291,-0.19797543,-0.11936848,-2.2776523,0.23132759,-0.48348041,-0.28245689,-0.08048957,0.04516969,-0.13962395,0.07815845,0.42246564,0.2023979,0.16202942,0.07350829,0.04118856,0.05040227,0.04198601,0.05980263,0.04319152,0.05666408,0.31850931,-0.10229593,-0.13142714,0.0005737,-0.00522686,-0.01123011,0.01097669,0.03102203,0.00327945,-0.00063298,-0.00308983,0.00011605,-0.00047576,-0.00003409,-0.02767549,-0.00359186,-0.00039715,0.01708948,0.0146481,0.00019782
"fati",-0.05372076,-9.02806218,-0.54012893,-5.4772932,0.04286494,-0.07121992,0.01503809,-2.40465452,-2.8340558,-0.27887546,-1.83687008,-0.00058339,-0.21622542,-0.19688031,0.09712589,0.1296352,0.06606903,0.01758613,-0.56939339,0.0931028,-0.20115384,-0.27023798,0.06541889,0.01909917,-0.1828741,0.17326217,0.2023979,0.57306532,0.21876935,0.1492257,0.06267881,0.07987884,0.09693822,0.11650806,0.12313968,0.1650104,0.01937798,-0.08555814,-0.13136541,-0.00375186,-0.01632663,-0.00732839,0.02357806,0.01611033,-0.00434245,0.00054249,-0.00234745,-0.00045633,-0.00058007,-0.00336871,-0.01064589,-0.00013312,0.00086777,0.01266621,0.00467462,-0.00118363
"socialrole",-0.044721,-8.81685107,-0.85567597,-1.73075143,-0.01174758,-0.03717517,0.10547253,-1.93176813,-1.72426226,-0.28961031,-3.23368764,-0.00016893,-0.2928729,-0.21485694,0.12707508,0.21191814,-0.05325931,0.00606541,-0.86342411,-0.03225879,-0.47433426,-0.36082302,-0.12952388,-0.00751919,-0.17196175,0.14155894,0.16202942,0.21876935,0.4139412,0.19649813,0.09300608,0.10773769,0.10460624,0.10923789,0.10458968,0.14782518,0.02133323,-0.03831251,-0.09115641,0.00737465,-0.01178632,-0.0194042,0.01938525,0.01357228,0.00572804,-0.00131977,0.00096789,0.00105767,-0.00024479,-0.00299844,-0.00847684,-0.00217452,-0.00144492,0.01261057,0.00129723,-0.00089338
"iso",-0.07023437,-9.15905551,-0.81687623,-20.79682082,0.00974052,-0.04829636,-0.07991166,-1.996611,-4.22288735,-0.09225287,-3.10054162,0.00006209,-0.21678198,-0.16238806,-0.02895875,0.0602472,-0.05975542,-0.04010504,-0.54369034,0.14817456,-0.58782906,-0.50104358,-0.22613443,0.0183842,-0.16998002,0.11406542,0.07350829,0.1492257,0.19649813,0.39389784,0.16365448,0.18664571,0.16889816,0.11327751,0.1023877,0.15901243,-0.13418998,0.01791849,-0.08817004,0.00249684,-0.00253541,-0.01793429,0.00940351,0.00661289,0.00098623,-0.00092596,0.00131581,0.0004767,0.00175096,-0.00153183,-0.00017924,-0.00198109,0.00173191,0.01775279,0.00181812,0.00304696
"info",0.01355963,-9.18271795,-0.80818181,-4.48891633,0.1518169,-0.04567786,0.04788826,-3.24143566,-5.00982038,-0.29551947,-0.9691071,0.00374217,-0.09451555,-0.02488588,-0.01724995,0.04873188,-0.11252771,-0.08297183,-0.30023542,0.22101701,-0.67688702,-0.52054662,-0.02135637,0.05138238,-0.15315337,0.06602796,0.04118856,0.06267881,0.09300608,0.16365448,0.63274499,0.41258675,0.28359656,0.05349394,0.03930969,0.05775233,0.13786224,-0.10492217,-0.10692155,0.02530705,-0.00356418,-0.01968912,0.01015674,-0.03859564,0.01905633,-0.00190748,0.00953465,0.00054022,0.00576237,0.00420763,-0.00521814,0.00229737,0.00215811,0.01188686,0.00473865,0.01036078
"emo",-0.0177926,-11.40369123,-1.27349839,-20.53703604,0.01670369,-0.06205107,-0.05896533,-2.07232966,-2.98375566,-0.2115776,-2.53764218,0.00185894,-0.17757736,-0.07486413,-0.06272532,0.05901299,-0.07426946,-0.01016667,-0.74449937,0.25606011,-0.66967159,-0.50435766,0.02038873,0.05252592,-0.16388683,0.0697129,0.05040227,0.07987884,0.10773769,0.18664571,0.41258675,0.50605741,0.30573957,0.07023264,0.05245884,0.08247605,0.02840599,-0.00664976,-0.08985447,0.01186757,0.00028157,-0.01382074,0.01021248,-0.01363127,0.0060107,-0.00200533,0.00487748,0.00071829,0.00545449,0.00305602,0.00359077,-0.00192346,0.00239682,0.01926434,0.00902347,0.01191015
"ins",0.0886862,-20.53161942,-0.20132911,-22.20687375,0.15803715,-0.18694636,-0.17159094,-4.9756884,-7.33672279,-0.43798107,-0.66822804,-0.00089815,-0.38414744,-0.31231818,0.19988441,0.18627097,0.14458054,0.05998242,0.41257841,0.53911788,-0.67438271,-0.67873352,-0.04483518,0.07294409,-0.17114621,0.0635511,0.04198601,0.09693822,0.10460624,0.16889816,0.28359656,0.30573957,0.62814944,0.06350456,0.0528694,0.05989823,-0.09257478,-0.02966365,-0.17388606,0.01227194,-0.00291672,-0.01006888,0.00231165,0.03369741,0.00974308,-0.00099293,0.00218754,-0.00052749,0.00439059,-0.00234268,-0.0004344,-0.0040803,0.00594204,0.05743453,0.03397667,0.02710376
"dep",0.0226138,-11.27643608,-0.25640336,-7.87042454,-0.01462915,-0.09040479,-0.05450681,-1.57384219,-1.55697105,-0.27196497,0.1002578,-0.00233742,-0.08708725,-0.04918357,-0.04084487,-0.02248081,0.02175164,-0.00032493,0.15910151,0.34420837,-0.28623139,-0.26095203,0.01936824,0.02109299,-0.10554672,0.08510539,0.05980263,0.11650806,0.10923789,0.11327751,0.05349394,0.07023264,0.06350456,0.17674155,0.12175566,0.11747707,-0.05593095,-0.03961601,-0.07399176,0.00507191,-0.00684914,0.0018756,0.00394595,0.01411057,0.0049062,-0.00019146,-0.00104706,-0.00029378,-0.00006569,-0.00098302,-0.00737564,-0.00146826,-0.00038291,0.00876468,0.0046309,-0.00078232
"anx",0.05066619,-5.59908837,0.35103547,-0.30831531,0.03476381,-0.07539621,-0.04485981,-1.12722856,-0.77127937,-0.21988455,0.4529289,-0.00151072,-0.02470475,-0.02817793,0.0273096,-0.00234016,0.07526983,0.01904541,0.5951016,0.27658063,-0.29062826,-0.28661545,-0.12228224,0.00099013,-0.09578258,0.08629626,0.04319152,0.12313968,0.10458968,0.1023877,0.03930969,0.05245884,0.0528694,0.12175566,0.18628256,0.13341191,-0.05223162,-0.01029953,-0.07572103,0.0017188,-0.00574077,0.00225766,0.00115019,0.01709014,0.00131562,0.00089993,-0.00044341,0.00001245,0.00016047,-0.00052711,-0.00373139,-0.00048354,0.00125686,0.0109873,0.00329807,-0.00163666
