"IV","DV","beta","se","CI_low","CI_high","t","df_error","p","p.adj"
"TripsVgt60","LIFESATISFACTION",-0.0146822998081483,0.0202539115728654,-0.0543974727980497,0.0250328731817531,-0.724911815444996,2636,0.468570472983453,1
"PercentTripsVgt60_n","LIFESATISFACTION",0.00427794588336151,0.0207023075620962,-0.0363164708129327,0.0448723625796557,0.206641016733516,2636,0.836306184249952,1
"SpeedingPer1000Miles","LIFESATISFACTION",-0.0645859053357181,0.0194181707197244,-0.102662303887516,-0.0265095067839203,-3.32605507840725,2636,0.000892919801170152,0.257160902737004
"DecelerationPer1000Miles","LIFESATISFACTION",-0.0795691558648516,0.0187323530342998,-0.116300758972165,-0.0428375527575378,-4.24768611392049,2636,0.0000223477567850336,0.00643615395408968
"DaysDriving","cog",-0.00805641850462222,0.0183568081915578,-0.0440516291209692,0.0279387921117248,-0.438879048064975,2636,0.660785148107969,1
"Miles_n","cog",-0.0541594585647024,0.0192857723903196,-0.0919762419534258,-0.0163426751759789,-2.8082597610603,2636,0.00501767788026456,1
"Trips","cog",-0.00379111870644735,0.0184141737823637,-0.0398988154642653,0.0323165780513706,-0.205880467473285,2636,0.836900181697225,1
"TripMinutes_n","cog",-0.0365971905156005,0.0189849748421293,-0.0738241507179069,0.000629769686705917,-1.92769233669923,2636,0.0540007254931287,1
"TripChains","cog",0.00920196803100092,0.0188756012176454,-0.0278105253310962,0.046214461393098,0.487505956758541,2636,0.625940362543733,1
"MilesPerTrip_n","cog",-0.0619331405670537,0.0193736423945077,-0.0999222251137237,-0.0239440560203836,-3.19677318832989,2636,0.00140618473560108,0.404981203853112
"MinutesPerTrip_n","cog",-0.0422222635319038,0.0188432465783021,-0.0791713138354134,-0.00527321322839432,-2.24071066291318,2636,0.0251277934234023,1
"MilesPerChain_n","cog",-0.0714323989060806,0.0188532934632448,-0.108401149788023,-0.0344636480241384,-3.78885519632634,2636,0.000154729571992388,0.0445621167338078
"MinutesPerChain_n","cog",-0.0475709734401413,0.0185086631241593,-0.0838639509789882,-0.0112779959012943,-2.57020040405009,2636,0.0102184284175383,1
"Average_speed","cog",-0.0790051113187756,0.0216542390872427,-0.121466136598786,-0.0365440860387654,-3.64848245188724,2636,0.000268910178090844,0.0774461312901632
"LeftTurnCount","cog",0.00135062053232875,0.0189126761264132,-0.0357345716963551,0.0384358127610126,0.071413507179055,2636,0.943074077348042,1
"RightToLeftTurnRatio_n","cog",-0.00433511265669778,0.0204844933282474,-0.044502425188651,0.0358321998752554,-0.211628991121778,2636,0.832412850216425,1
"TripsAMPeak","cog",-0.0190235795909136,0.0184611657472342,-0.055223421217008,0.0171762620351808,-1.03046469824169,2636,0.302886453331149,1
"PercentTripsAMPeak_n","cog",-0.0248358837334103,0.0185622913834368,-0.0612340190135997,0.0115622515467791,-1.337975103417,2636,0.181019961892538,1
"TripsPMPeak","cog",-0.0152617975341805,0.0186962858106858,-0.0519226777087935,0.0213990826404326,-0.816301039078983,2636,0.414401740070025,1
"PercentTripsPMPeak_n","cog",0.00968554509912009,0.0186773434087902,-0.0269381915950634,0.0463092817933036,0.51857188076125,2636,0.604102848921373,1
"TripsAtNight","cog",0.00237746183717417,0.0193104163873876,-0.035487645086645,0.0402425687609934,0.123118103177049,2636,0.902022962021736,1
"PercentTripsAtNight_n","cog",0.0108882941802653,0.0193864931308108,-0.0271259889169903,0.0489025772775209,0.561643310463439,2636,0.574406812195948,1
