"IV","DV","y1_N","y1_beta","y1_CI_low","y1_CI_high","y1_t","y1_df_error","y1_p","y1_p.adj","y1_dir","y2_N","y2_beta","y2_CI_low","y2_CI_high","y2_t","y2_df","y2_p_two_tailed","y2_p_one_tailed","y2_p_adj","replicated"
"PercentTripsPMPeak_n","socialrole",2627,0.106935460050816,0.0679782758364798,0.145892644265151,5.38250084077884,2605,0.0000000800080767352363,0.0000479427181805776,1,2415,0.081740172921957,0.0417822864258958,0.121698059418018,4.01144508621205,2393,0.0000621993655701351,0.0000310996827850675,0.000326310140518978,TRUE
"TripsAtNight","socialrole",2627,0.0792406015243953,0.0392044593697604,0.11927674367903,3.88101627713577,2605,0.000106601941939718,0.0095817579958162,1,2414,-0.0141904044399896,-0.0552546206466355,0.0268738117666563,-0.677640158911563,2392,0.498065413696568,0.750967293151716,1,FALSE
"PercentTripsAtNight_n","socialrole",2624,0.0861302643477865,0.0456451735308244,0.126615355164749,4.17167837578866,2602,0.0000312270531076675,0.00350849689456607,1,2413,0.0122946223019656,-0.0291322571583949,0.0537215017623261,0.581970489207174,2391,0.560641425096796,0.280320712548398,1,FALSE
"TripsAMPeak","iso",2664,-0.0832417738628524,-0.121849855486637,-0.0446336922390682,-4.22775877452521,2642,0.0000244047565780536,0.00292478063373302,-1,2440,-0.0438779805231878,-0.0843470961045155,-0.00340886494186013,-2.12612333286883,2418,0.0335940417907955,0.0167970208953977,0.0923506836018465,FALSE
"PercentTripsAMPeak_n","iso",2661,-0.0757639454941384,-0.114473336787263,-0.0370545542010143,-3.83789919157234,2639,0.000127003886074377,0.0108719586578232,-1,2437,-0.0389160744571592,-0.0794322222128803,0.00160007329856195,-1.88350460132097,2415,0.0597520781111219,0.029876039055561,0.149326946793853,FALSE
"DecelerationPer1000Miles","iso",2665,0.0853581558383339,0.0467533654290971,0.123962946247571,4.33561634900355,2643,0.0000150792292248556,0.00208519112629459,1,2438,0.0408277254599956,0.000591854246978246,0.0810635966730129,1.98979113825223,2416,0.0467264978810709,0.0233632489405355,0.122335299487243,FALSE
"TripsAMPeak","dep",2679,-0.0665523491385977,-0.104936186104979,-0.0281685121722161,-3.39985954537594,2657,0.000684155623318062,0.0439245121673398,-1,2454,-0.037518582141647,-0.0779854167709697,0.00294825248767559,-1.81807362688122,2432,0.0691758519891169,0.0345879259945584,0.165361549364555,FALSE
"PercentTripsAMPeak_n","dep",2676,-0.0789949922028071,-0.117399330626793,-0.0405906537788216,-4.03334589719307,2654,0.0000565395178540797,0.00597878940951988,-1,2451,-0.0226350323265394,-0.0630404006774097,0.0177703360243308,-1.09851653849183,2429,0.272087873638014,0.136043936819007,0.623312443486336,FALSE
"TripsAMPeak","anx",2681,-0.0680604992276653,-0.106814765036916,-0.0293062334184146,-3.44366930863015,2659,0.000582756032542992,0.0402924343722522,-1,2453,-0.0109002824298263,-0.0514185294226672,0.0296179645630145,-0.527535239761353,2431,0.597870092701604,0.298935046350802,1,FALSE
"PercentTripsAMPeak_n","anx",2678,-0.0840619311403528,-0.12284635455047,-0.0452775077302357,-4.24999158486894,2656,0.0000221148663903036,0.00283966011454792,-1,2450,-0.0126063118937185,-0.053067613318225,0.027854989530788,-0.610960088335266,2428,0.541283192484977,0.270641596242488,1,FALSE
"Average_speed","ang",2678,-0.0852044305966515,-0.130002749999725,-0.0404061111935782,-3.72946472185714,2656,0.000195900217748286,0.016007455941718,-1,2449,-0.078161050186308,-0.124160381107102,-0.0321617192655143,-3.33198931981854,2427,0.000875203708229251,0.000437601854114626,0.00343707465615389,TRUE
