"IV","candidate_DV","against_DV","y1_n_obs","y1_Coefficient","y1_SE","y1_CI_low","y1_CI_high","y1_z","y1_p","y1_contrast_dir","Label","y1_p_adj"
"PercentTripsPMPeak_n","socialrole","dep",2469,0.0999247550853292,0.0229393117418278,0.05496453024121,0.144884979929448,4.35604852534113,0.0000132431429575863,1,"socialrole_vs_dep",0.000479784249327256
"PercentTripsPMPeak_n","socialrole","emo",2469,0.15539676736775,0.0250730665027248,0.106254460040432,0.204539074695069,6.19775675826739,0.000000000572735636694688,1,"socialrole_vs_emo",0.000000184496531813236
"PercentTripsPMPeak_n","socialrole","fati",2469,0.0738056764500827,0.0218369369716806,0.0310060664529175,0.116605286447248,3.37985480957325,0.000725241305911561,1,"socialrole_vs_fati",0.011681175143962
"PercentTripsPMPeak_n","socialrole","info",2469,0.162779125273638,0.0262235269405268,0.11138195692259,0.214176293624687,6.20736965103171,0.00000000053878768113691,1,"socialrole_vs_info",0.000000184496531813236
"PercentTripsPMPeak_n","socialrole","ins",2469,0.120565491852512,0.0246924574611528,0.0721691645388656,0.168961819166159,4.8826850078487,0.00000104650973398179,1,"socialrole_vs_ins",0.0000963183929688255
"PercentTripsPMPeak_n","socialrole","iso",2469,0.0918206379701141,0.0211124801023849,0.0504409373451212,0.133200338595107,4.34911661371995,0.000013668701806413,1,"socialrole_vs_iso",0.000479784249327256
"PercentTripsPMPeak_n","socialrole","phys",2469,0.0684725940488039,0.0224429975765184,0.0244851270937081,0.1124600610039,3.05095581886286,0.00228114138359681,1,"socialrole_vs_phys",0.0327739952867038
"Trips","phys","ang",2469,-0.115207684365933,0.0254310118736864,-0.165051551728769,-0.0653638170030974,-4.53020449749147,0.00000589266214245932,-1,"phys_vs_ang",0.000345130111688048
"Trips","phys","anx",2469,-0.0986925871904745,0.0253647605334994,-0.148406604312616,-0.0489785700683327,-3.89093313379129,0.0000998594511376627,-1,"phys_vs_anx",0.00214452896162205
"Trips","phys","cog",2469,-0.112426601242955,0.0253838111419775,-0.162177956871597,-0.0626752456143122,-4.429067038599,0.00000946416037650444,-1,"phys_vs_cog",0.00038108872883881
"Trips","phys","dep",2469,-0.0829497934873564,0.0248796558497903,-0.131713022900697,-0.0341865640740162,-3.33404103288895,0.00085594029900804,-1,"phys_vs_dep",0.0134500411528158
"Trips","phys","socialrole",2469,-0.0891858293374701,0.0219797405258694,-0.13226532915771,-0.0461063295172306,-4.05763795220883,0.0000495715362838212,-1,"phys_vs_socialrole",0.00133071524554798
"TripsAMPeak","phys","cog",2468,-0.0825867394245887,0.0256474885989766,-0.132854893372484,-0.0323185854766929,-3.2200712013528,0.00128158761423047,-1,"phys_vs_cog",0.0192018839986239
"TripsAtNight","socialrole","emo",2469,0.105554056133275,0.0259388599972268,0.0547148247386834,0.156393287527866,4.06934060111199,0.000047146382089025,1,"socialrole_vs_emo",0.00132064025562372
"TripsAtNight","socialrole","info",2469,0.109518809978127,0.0271409533745766,0.0563235188578765,0.162714101098378,4.03518654877893,0.0000545589319198569,1,"socialrole_vs_info",0.00140601465300669
"TripsAtNight","socialrole","ins",2469,0.0925032558932279,0.0254914819377046,0.0425408693827737,0.142465642403682,3.62879082978718,0.000284751837728914,1,"socialrole_vs_ins",0.00555925495035769
"TripsAtNight","socialrole","iso",2469,0.0634232214484637,0.0217959265935797,0.0207039903153688,0.106142452581559,2.90986580341787,0.00361583974047663,1,"socialrole_vs_iso",0.0495650229313969
"TripsAtNight","socialrole","phys",2469,0.0769670213205181,0.0231381466292938,0.0316170872580955,0.122316955382941,3.32641254952871,0.000879716192874413,1,"socialrole_vs_phys",0.0134945153422706
"TripsLt15Miles","phys","ang",2469,-0.125397169439782,0.0255889686114392,-0.175550626319729,-0.0752437125598356,-4.90043859695562,0.000000956229408988207,-1,"phys_vs_ang",0.0000963183929688255
"TripsLt15Miles","phys","anx",2469,-0.114469530691027,0.0255145900192043,-0.164477208208973,-0.0644618531730815,-4.48643425604206,0.00000724250516515035,-1,"phys_vs_anx",0.00034982531024309
"TripsLt15Miles","phys","cog",2469,-0.123881819600633,0.0255393141810043,-0.173937955585255,-0.073825683616012,-4.85063219484471,0.00000123068576796115,-1,"phys_vs_cog",0.0000991108468695566
"TripsLt15Miles","phys","dep",2469,-0.0960601544912266,0.0250335306583455,-0.145124972987463,-0.0469953359949902,-3.83725954609614,0.000124414957769936,-1,"phys_vs_dep",0.00258568072739389
"TripsLt15Miles","phys","socialrole",2469,-0.0877673278800529,0.0221350714198358,-0.131151270658153,-0.0443833851019528,-3.96507995006523,0.0000733713508125344,-1,"phys_vs_socialrole",0.00175076052701199
