"IV","candidate_DV","against_DV","y1_n_obs","y1_Coefficient","y1_z","y1_p","y1_p_adj","y1_contrast_dir","y2_n_obs","y2_Coefficient","y2_SE","y2_CI_low","y2_CI_high","y2_z","y2_p_two_tailed","Label","y2_p_one_tailed","y2_p_adj","replicated"
"MinutesPerTrip_n","phys","iso",2467,0.100145373715858,3.91629032089669,0.0000899219530510198,0.00206905338031072,1,2322,0.120741898042422,0.0263619492740658,0.0690734269029808,0.172410369181862,4.58015819646555,0.00000464624359719501,"phys_vs_iso",0.00000232312179864132,0.000175665282899138,TRUE
"MinutesPerTrip_n","phys","socialrole",2467,0.0796686101169532,3.54730079491708,0.000389199955866504,0.0071642170302549,1,2322,0.0489350437537588,0.0229494353639482,0.00395497697489052,0.0939151105326271,2.13229837587342,0.0329823254917558,"phys_vs_socialrole",0.0164911627458779,0.107493676462259,FALSE
"PercentTripsAtNight_n","socialrole","emo",2466,0.115603673819951,4.43635781598324,0.00000914937188611908,0.00038108872883881,1,2321,0.0479722029036362,0.0262221808296231,-0.00342232711852172,0.0993667329257941,1.82945130366282,0.067332027990332,"socialrole_vs_emo",0.033666013995166,0.203689590693909,FALSE
"PercentTripsAtNight_n","socialrole","info",2466,0.1289379111874,4.73496307712225,0.00000219094981646073,0.00015683894651705,1,2321,0.0671417097801965,0.0270604916355136,0.0141041207706425,0.12017929878975,2.48117109934844,0.0130951498284988,"socialrole_vs_info",0.00654757491424941,0.0487757619236333,TRUE
"PercentTripsAtNight_n","socialrole","ins",2466,0.0893454879357675,3.4866727895426,0.00048906933518067,0.00829183845463739,1,2321,0.0362822407152415,0.0262108163637526,-0.0150900153631067,0.0876544967935898,1.38424687776672,0.166282873873697,"socialrole_vs_ins",0.0831414369368484,0.422975572466777,FALSE
"PercentTripsPMPeak_n","socialrole","ang",2469,0.091663241937436,4.08750425644653,0.0000436038678737205,0.0012769277641809,1,2323,0.0698629725881867,0.0230173703962674,0.0247497555926842,0.114976189583689,3.03522823786665,0.00240353723011499,"socialrole_vs_ang",0.00120176861505754,0.0125335033004177,TRUE
"PercentTripsPMPeak_n","socialrole","anx",2469,0.0894713258644152,3.90459265490851,0.0000943842267135953,0.00209684061363722,1,2323,0.081271317209489,0.0233494073904169,0.0355073196639186,0.127035314755059,3.48065866728783,0.00050018246935668,"socialrole_vs_anx",0.000250091234678389,0.00372607894727968,TRUE
"PercentTripsPMPeak_n","socialrole","cog",2469,0.105549935601715,4.49017331724181,0.00000711652436935495,0.00034982531024309,1,2323,0.0761919813844125,0.0232358511468336,0.030650549986485,0.12173341278234,3.27906995542943,0.0010414981454907,"socialrole_vs_cog",0.000520749072745304,0.00638941653567936,TRUE
"PercentTripsPMPeak_n","socialrole","dep",2469,0.0999247550853292,4.35604852534113,0.0000132431429575863,0.000479784249327256,1,2323,0.0924637439453253,0.0225761655730046,0.0482152725132232,0.136712215377427,4.09563544554654,0.0000421011993543274,"socialrole_vs_dep",0.0000210505996771613,0.000548853076257201,TRUE
"PercentTripsPMPeak_n","socialrole","emo",2469,0.15539676736775,6.19775675826739,0.000000000572735636694688,0.000000184496531813236,1,2323,0.0742137153829307,0.0253877993608438,0.0244545429889478,0.123972887776914,2.92320395037437,0.0034644950665208,"socialrole_vs_emo",0.00173224753326037,0.0157095495706188,TRUE
"PercentTripsPMPeak_n","socialrole","fati",2469,0.0738056764500827,3.37985480957325,0.000725241305911561,0.011681175143962,1,2323,0.0299534702130437,0.0219951857506499,-0.0131563016914987,0.0730632421175861,1.36181937959577,0.173254894009093,"socialrole_vs_fati",0.0866274470045466,0.423347733278989,FALSE
"PercentTripsPMPeak_n","socialrole","info",2469,0.162779125273638,6.20736965103171,0.00000000053878768113691,0.000000184496531813236,1,2323,0.0698508058517066,0.0262099932103859,0.0184801631243108,0.121221448579102,2.66504479001649,0.00769780694011857,"socialrole_vs_info",0.00384890347005931,0.0321128335292185,TRUE
"PercentTripsPMPeak_n","socialrole","ins",2469,0.120565491852512,4.8826850078487,0.00000104650973398179,0.0000963183929688255,1,2323,0.0424786292721838,0.0254092771885797,-0.00732263889062754,0.0922798974349951,1.67177637352376,0.0945684274076748,"socialrole_vs_ins",0.0472842137038373,0.266560666027248,FALSE
"PercentTripsPMPeak_n","socialrole","iso",2469,0.0918206379701141,4.34911661371995,0.000013668701806413,0.000479784249327256,1,2323,0.0717578274191744,0.0210902761686967,0.0304216457045254,0.113094009133823,3.40241288664019,0.000667936451808515,"socialrole_vs_iso",0.000333968225904312,0.00464403525399766,TRUE
"PercentTripsPMPeak_n","socialrole","phys",2469,0.0684725940488039,3.05095581886286,0.00228114138359681,0.0327739952867038,1,2323,0.0369970469618781,0.0230521669224439,-0.00818436997171743,0.0821784638954737,1.60492708066665,0.108509853060848,"socialrole_vs_phys",0.054254926530424,0.282918147558894,FALSE
"Trips","phys","ang",2469,-0.115207684365933,-4.53020449749147,0.00000589266214245932,0.000345130111688048,-1,2324,-0.0973287639964354,0.0265963560156471,-0.149456663907109,-0.0452008640857619,-3.65947740882906,0.000252730121053091,"phys_vs_ang",0.000126365060526558,0.00217802076312967,TRUE
"Trips","phys","anx",2469,-0.0986925871904745,-3.89093313379129,0.0000998594511376627,0.00214452896162205,-1,2324,-0.0978116465570339,0.026863313403581,-0.150462773333465,-0.0451605197806031,-3.64108645450994,0.000271489942862191,"phys_vs_anx",0.000135744971431147,0.00217802076312967,TRUE
"Trips","phys","cog",2469,-0.112426601242955,-4.429067038599,0.00000946416037650444,0.00038108872883881,-1,2324,-0.0472109410157914,0.0259024505212914,-0.0979788111488533,0.00355692911727049,-1.8226438064995,0.0683573562832938,"phys_vs_cog",0.0341786781416468,0.203689590693909,FALSE
"Trips","phys","dep",2469,-0.0829497934873564,-3.33404103288895,0.00085594029900804,0.0134500411528158,-1,2324,-0.0585092990817007,0.0255742567990433,-0.108633921339204,-0.00838467682419719,-2.28782011307126,0.0221479990467008,"phys_vs_dep",0.0110739995233504,0.076995414833158,FALSE
"Trips","phys","socialrole",2469,-0.0891858293374701,-4.05763795220883,0.0000495715362838212,0.00133071524554798,-1,2324,-0.0419206935010785,0.0227451982330763,-0.0865004628591321,0.00265907585697512,-1.84305685408875,0.065320709949557,"phys_vs_socialrole",0.0326603549747785,0.203689590693909,FALSE
"TripsAMPeak","phys","cog",2468,-0.0825867394245887,-3.2200712013528,0.00128158761423047,0.0192018839986239,-1,2325,-0.0670919855328819,0.0261761781209242,-0.118396351902799,-0.0157876191629651,-2.56309325306933,0.0103744179739063,"phys_vs_cog",0.00518720898695316,0.0416142445541984,TRUE
"TripsAtNight","socialrole","emo",2469,0.105554056133275,4.06934060111199,0.000047146382089025,0.00132064025562372,1,2322,0.0351138113687526,0.0263799510830023,-0.0165899426678603,0.0868175654053655,1.33107947237165,0.183162862617955,"socialrole_vs_emo",0.0915814313089775,0.434146563499775,FALSE
"TripsAtNight","socialrole","info",2469,0.109518809978127,4.03518654877893,0.0000545589319198569,0.00140601465300669,1,2322,0.043760644067559,0.0272380656823545,-0.00962498367839226,0.0971462718135102,1.60659881571209,0.108142402484413,"socialrole_vs_info",0.0540712012422063,0.282918147558894,FALSE
"TripsAtNight","socialrole","ins",2469,0.0925032558932279,3.62879082978718,0.000284751837728914,0.00555925495035769,1,2322,0.00274404596384052,0.0263849681769236,-0.0489695413961653,0.0544576333238463,0.104000351466805,0.917169069653827,"socialrole_vs_ins",0.458584534826914,1,FALSE
"TripsAtNight","socialrole","iso",2469,0.0634232214484637,2.90986580341787,0.00361583974047663,0.0495650229313969,1,2322,0.0176659825499655,0.0218939822303415,-0.0252454340996638,0.0605773991995948,0.806887589663031,0.419731249451046,"socialrole_vs_iso",0.209865624725523,0.972770545449852,FALSE
"TripsAtNight","socialrole","phys",2469,0.0769670213205181,3.32641254952871,0.000879716192874413,0.0134945153422706,1,2322,0.0108210771638177,0.0238408962549344,-0.0359062208550096,0.057548375182645,0.453887179748035,0.649910031412325,"socialrole_vs_phys",0.324955015706163,1,FALSE
"TripsLt15Miles","phys","ang",2469,-0.125397169439782,-4.90043859695562,0.000000956229408988207,0.0000963183929688255,-1,2323,-0.117062966982373,0.0265500011332303,-0.169100012993002,-0.0650259209717437,-4.40915111057586,0.0000103776597650818,"phys_vs_ang",0.00000518882988257046,0.00026197790431437,TRUE
"TripsLt15Miles","phys","anx",2469,-0.114469530691027,-4.48643425604206,0.00000724250516515035,0.00034982531024309,-1,2323,-0.117129476507555,0.0268175858593778,-0.169690978944246,-0.0645679740708641,-4.36763686044456,0.0000125598093245749,"phys_vs_anx",0.00000627990466227154,0.00026197790431437,TRUE
"TripsLt15Miles","phys","cog",2469,-0.123881819600633,-4.85063219484471,0.00000123068576796115,0.0000991108468695566,-1,2323,-0.0689893237760017,0.025868548819516,-0.119690747794569,-0.0182878997574343,-2.66691897784209,0.00765501240015998,"phys_vs_cog",0.00382750620007999,0.0321128335292185,TRUE
"TripsLt15Miles","phys","dep",2469,-0.0960601544912266,-3.83725954609614,0.000124414957769936,0.00258568072739389,-1,2323,-0.0817846636974483,0.0255350506398814,-0.131832443295022,-0.0317368840998743,-3.20283929923814,0.00136079893118923,"phys_vs_dep",0.000680399465594632,0.00788448036852058,TRUE
"TripsLt15Miles","phys","socialrole",2469,-0.0877673278800529,-3.96507995006523,0.0000733713508125344,0.00175076052701199,-1,2323,-0.0490280669695521,0.0227226523354453,-0.0935636471802499,-0.0044924867588544,-2.15767359574801,0.0309532182462728,"phys_vs_socialrole",0.0154766091231364,0.104134764161638,FALSE
