"IV","DV","N","beta","se","CI_low","CI_high","t","df_error","p","p.adj"
"TripMinutes_n","fati",2679,-0.0286019981114168,0.0200022648186035,-0.0678235835520051,0.0106195873291716,-1.42993797806411,2657,0.152852394342943,1
"TripChains","fati",2680,0.0000794001160208424,0.0200021709265427,-0.0391419944907727,0.0393007947228144,0.00396957491826446,2658,0.996833043665149,1
"MilesPerTrip_n","fati",2677,-0.0184296149355518,0.0205178380412469,-0.0586621796656851,0.0218029497945814,-0.898224018461539,2655,0.369147578511849,1
"MinutesPerTrip_n","fati",2675,0.0136521410201085,0.0200619000851072,-0.0256864076942062,0.0529906897344233,0.680500897830865,2653,0.496246735247014,1
"MilesPerChain_n","fati",2674,-0.0456566205146973,0.0199965331081822,-0.0848670005804623,-0.00644624044893227,-2.28322681075228,2652,0.0224957843105434,0.496310855241238
"MinutesPerChain_n","fati",2674,-0.0271457755752447,0.0197278707601398,-0.0658293466827212,0.0115377955322317,-1.37601142593111,2652,0.168934280673123,1
"Average_speed","fati",2677,-0.0744814192714072,0.0230232735716341,-0.119626787043988,-0.0293360514988267,-3.2350490489403,2655,0.00123114907679092,0.0713935581644045
"LeftTurnCount","fati",2679,-0.0365149798350405,0.0199535930306181,-0.0756411268486144,0.00261116717853332,-1.82999521835539,2657,0.0673626332390747,0.99482980960838
"RightToLeftTurnRatio_n","fati",2680,0.0239263168007894,0.0214480694688274,-0.018130277919862,0.0659829115214408,1.11554640549649,2658,0.264717188212071,1
"TripsAMPeak","fati",2677,-0.0678103518054743,0.0197888264361483,-0.106613428373542,-0.0290072752374071,-3.42669900230188,2655,0.00062025948375977,0.0412971162720248
"PercentTripsAMPeak_n","fati",2674,-0.0701830660377332,0.0198130048167397,-0.109033573018431,-0.0313325590570349,-3.54227269850742,2652,0.000403536618878416,0.0302260771410198
"TripsPMPeak","fati",2680,-0.0124427908202152,0.0199322685799095,-0.0515271169292286,0.0266415352887982,-0.624253620220469,2658,0.532514611944381,1
"PercentTripsPMPeak_n","fati",2678,0.0361633105299234,0.0199446630788763,-0.00294533283386533,0.075271953893712,1.8131823228553,2656,0.06991653654484,1
"TripsAtNight","fati",2678,0.0195613008237013,0.0205041759772837,-0.0206444676363959,0.0597670692837985,0.954015457405995,2656,0.340162633892724,1
"PercentTripsAtNight_n","fati",2675,0.0377570570592629,0.0206094582791925,-0.00265517583255097,0.0781692899510767,1.8320256916885,2653,0.0670596404155165,0.99482980960838
"TripsLt15Miles","fati",2678,-0.0400138324217376,0.0196261750759996,-0.0784979661775729,-0.00152969866590238,-2.03879932115095,2656,0.0415688870512539,0.738913501752389
"PercentDistLt15Miles_n","fati",2675,-0.00391449376901502,0.0207195071888874,-0.044542517008534,0.0367135294705039,-0.188927937973086,2653,0.850163747563331,1
"TripsVgt60","fati",2680,-0.0221562436788949,0.0213987153242777,-0.0641160619853273,0.0198035746275375,-1.03540064640038,2658,0.300576032772995,1
"PercentTripsVgt60_n","fati",2676,-0.014964446598882,0.0219145645973047,-0.0579358010093849,0.0280069078116209,-0.682853931796687,2654,0.494758746075124,1
"SpeedingPer1000Miles","fati",2672,0.0274783535964606,0.0201718233253433,-0.0120757594834776,0.0670324666763988,1.36221466712618,2650,0.173245918256371,1
"DecelerationPer1000Miles","fati",2678,0.041585747369985,0.0198446736459137,0.0026731690416605,0.0804983256983094,2.09556217008124,2656,0.036215496520723,0.678161745629285
"DaysDriving","socialrole",2629,-0.0184500283694507,0.0196070815234029,-0.0568970518440644,0.0199969951051629,-0.940987996986135,2607,0.346798191987339,1
"Miles_n","socialrole",2628,-0.0152290565410497,0.020241490338941,-0.0549200830715069,0.0244619699894075,-0.752368342747554,2606,0.451897529355892,1
"Trips","socialrole",2627,-0.000939019051936054,0.0195035444109513,-0.0391830328953764,0.0373049947915043,-0.0481460719216141,2605,0.961603519421599,1
"TripMinutes_n","socialrole",2628,0.0135423049322039,0.0199230365360217,-0.0255242735893002,0.052608883453708,0.679730969107988,2606,0.496735195631897,1
"TripChains","socialrole",2629,0.0276557330807757,0.0200209057979284,-0.0116027478041648,0.0669142139657162,1.38134275041828,2607,0.16729197713055,1
"MilesPerTrip_n","socialrole",2626,-0.0385175351910996,0.0204358277554582,-0.0785896473481702,0.00155457696597101,-1.88480425906956,2604,0.0595675402297226,0.939322862100519
