"Variable","n_Obs","Mean","SD","Median","MAD","Min","Max","Skewness","Kurtosis","percentage_Missing"
"PercentTripsAMPeak_n",2658,6.92336986153733,4.16123019483684,6.27356811698093,4.02106734944057,0,30.4727917363935,0.956432639319456,1.28213977931574,0
"TripsPMPeak",2658,11.0482992526168,6.84158692601771,9.78348214285715,6.16478161764703,0.0588235294117647,71.1428571428571,1.46619962724646,5.25488165936972,0
"PercentTripsPMPeak_n",2658,9.20489908956343,3.88462757259617,8.93279754734338,3.77652866988208,0.13989221419562,25.7399268280298,0.476535561029003,0.401623603967561,0
"TripsAtNight",2658,7.92540241353263,7.17177565257963,5.88571428571429,4.9918185483871,0,75.1111111111111,2.25018377964686,8.63457805157943,0
"PercentTripsAtNight_n",2658,6.4122922701625,4.34890877512781,5.62091018598019,3.88450633669677,0,31.9813677318907,1.2603351789561,2.27933529134921,0
"TripsLt15Miles",2658,94.4320338327624,42.2341398548835,88.5915948275862,39.6514038461539,5.71428571428571,304,0.87905779369514,1.16200649097346,0
"PercentDistLt15Miles_n",2658,82.814165832723,12.1105829058116,86.4240646696478,9.55318098011088,20.9307525749801,98.7630770707362,-1.44373160964357,2.13643831355138,0
"TripsVgt60",2658,13.6741333622476,11.6877459094122,10.4674369747899,9.71943970588233,0,72.5714285714286,1.31942928646655,1.84259257135382,0
"PercentTripsVgt60_n",2658,12.4308330410381,10.0924840462939,9.81747682327853,9.17630730301612,0,56.405174497203,1.11184746199739,0.96388735949687,0
"SpeedingPer1000Miles",2658,4.51635002517715,8.53291157840551,1.04367892252966,1.54735837054248,0,72.375990004518,3.2922444437448,13.0255381843664,0
"DecelerationPer1000Miles",2658,1.23961271743494,1.52643367897807,0.80671803434684,0.736301994031534,0,38.1819792971414,7.22733908975419,134.856596917092,0
"LIFESATISFACTION",2658,3.94378291948834,0.577336407101132,4,0.59304,1.4,5,-0.608197854818945,0.681766569127661,0
"cog",2658,1.48625219463256,0.512121268530872,1.33333333333333,0.494199999999995,1,4,1.20266650723222,1.22289861918128,0
"phys",2658,1.38928078755957,0.590575266392471,1.125,0.185325,1,4.83333333333333,2.20379917923407,5.27731761415371,0
"fati",2658,1.84175131677953,0.634301993277136,1.75,0.617750000000005,1,4.75,0.961286991254554,1.00547813502,0
"socialrole",2658,1.54498996739403,0.551064273212959,1.41666666666667,0.61774999999999,1,5,1.22552744193326,1.72543960904657,0
"iso",2658,1.62512540757462,0.564280108165054,1.5,0.617750000000005,1,5,0.960499715150111,0.85741361831509,0
"info",2658,1.72444820667168,0.706003706424447,1.5,0.617750000000005,1,5,1.36430072037116,2.0969085145464,0
"emo",2658,1.56632493102583,0.653127128715382,1.33333333333333,0.494199999999995,1,5,1.53972602762023,2.61504127083957,0
"ins",2658,1.53403248056183,0.740134735252444,1.25,0.37065,1,5,1.96953633553121,4.16046746817925,0
"dep",2658,1.16679207424128,0.32325836371897,1,0,1,3.5,2.98596680163124,11.0000496090645,0
